czi_path,czi_key,rank,candidate_mask,candidate_mask_key,score,overlap,mean_dist,best_channel,inside_sum,outside_edge_sum,inside_mean,outside_edge_mean,top1_minus_top2
./new_images/filtro Ph1/5-01.czi,5-01,1,./Images_mk3/F10_mask.h5,F10,0.033788698711691496,1.0343660107624135,36721099.343719125,0,1105250688.0,1068529588.6562809,14301.3427734375,13826.1923828125,0.006682950703737478
./new_images/filtro Ph1/5-01.czi,5-01,2,./Images_mk3/F17_mask.h5,F17,0.02710574800795402,1.027476440606613,46237308.62475109,1,1729035648.0,1682798339.375249,13975.0546875,13601.337890625,0.006682950703737478
./new_images/filtro Ph1/5-01.czi,5-01,3,./images_CNN/F2_mask.h5,F2,0.024404444319313382,1.024704660076566,88287785.02767467,0,3662017792.0,3573730006.9723253,12756.666015625,12449.1142578125,0.006682950703737478
./new_images/filtro Ph1/5-01.czi,5-01,4,./Images_mk3/F2_mask.h5,F2,0.024356156426000405,1.0246551804414232,92186519.11194754,0,3831218944.0,3739032424.8880525,12706.5615234375,12400.8173828125,0.006682950703737478
./new_images/filtro Ph1/5-01.czi,5-01,5,./images_CNN/F3_mask.h5,F3,0.01927359755012887,1.019460522368822,43640953.2589097,0,2286178560.0,2242537606.7410903,12726.01953125,12483.0927734375,0.006682950703737478
./new_images/filtro Ph1/5-02.czi,5-02,1,./images_CNN/F4_mask.h5,F4,0.03419884110834718,1.034790335131947,101516072.35244465,0,3019454976.0,2917938903.6475554,13115.3486328125,12674.40234375,0.0008029515892900574
./new_images/filtro Ph1/5-02.czi,5-02,2,./Images_mk3/F4_mask.h5,F4,0.03339588951905712,1.033959782071315,100053974.03457499,0,3046302976.0,2946249001.965425,13087.6865234375,12657.8291015625,0.0008029515892900574
./new_images/filtro Ph1/5-02.czi,5-02,3,./Images_mk3/F16_mask.h5,F16,0.03284867985410976,1.0333941440553356,48375161.23987436,0,1496987264.0,1448612102.7601256,13964.1728515625,13512.9208984375,0.0008029515892900574
./new_images/filtro Ph1/5-02.czi,5-02,4,./images_384_CNN/BF04_Position008_new_mask.h5,BF04_Position008_new,0.03284867985410976,1.0333941440553356,48375161.23987436,0,1496987264.0,1448612102.7601256,13964.1728515625,13512.9208984375,0.0008029515892900574
./new_images/filtro Ph1/5-02.czi,5-02,5,./new40x/P1_1G7-08_mask.h5,P1_1G7-08,0.028267135440542716,1.0286704320527518,63806419.38143206,1,2289319424.0,2225513004.618568,12438.5732421875,12091.8935546875,0.0008029515892900574
./new_images/filtro H/5-03.czi,5-03,1,./images_384_CNN/BF01_Position001_new_mask.h5,BF01_Position001_new,0.03992625915958731,1.0407340167609336,71506279.78770185,0,1826950144.0,1755443864.2122982,17592.033203125,16903.486328125,0.0003572775776911688
./new_images/filtro Ph1/5-03.czi,5-03,1,./datasets_corrected/raw_pairs/masks/0018_P1_1G2-09_mask.h5,0018_P1_1G2-09,0.04872100425093566,1.0499273745966455,118794665.51891613,0,2498144000.0,2379349334.481084,14597.2490234375,13903.103515625,0.0002021156169439431
./new_images/filtro H/5-03.czi,5-03,2,./Images_mk3/F12_mask.h5,F12,0.03956898158189614,1.0403622522443492,72785373.56341958,0,1876088448.0,1803303074.4365804,17459.45703125,16782.09375,0.0003572775776911688
./new_images/filtro Ph1/5-03.czi,5-03,2,./Images_mk3/F22_mask.h5,F22,0.048518888633991716,1.0497151893192629,121400445.24068737,0,2563319040.0,2441918594.7593126,14469.03125,13783.7685546875,0.0002021156169439431
./new_images/filtro H/5-03.czi,5-03,3,./images_CNN/F4_mask.h5,F4,0.022787445918010667,1.0230490531808372,90159317.60971975,0,4001787136.0,3911627818.3902802,17382.220703125,16990.603515625,0.0003572775776911688
./new_images/filtro Ph1/5-03.czi,5-03,3,./images_CNN/F4_mask.h5,F4,0.02339239295448524,1.0236681309155171,74543819.44529295,0,3224087808.0,3149543988.554707,14004.1953125,13680.4052734375,0.0002021156169439431
./new_images/filtro H/5-03.czi,5-03,4,./Images_mk3/F4_mask.h5,F4,0.022089526987022882,1.0223352969732706,88181116.23838139,0,4036242176.0,3948061059.7616186,17340.71484375,16961.8671875,0.0003572775776911688
./new_images/filtro Ph1/5-03.czi,5-03,4,./Images_mk3/F4_mask.h5,F4,0.022525585747016963,1.0227811924507766,72378828.28081751,0,3249509632.0,3177130803.7191825,13960.7138671875,13649.755859375,0.0002021156169439431
./new_images/filtro H/5-03.czi,5-03,5,./Images_mk3/F5_mask.h5,F5,0.02137849824240984,1.0216086455490188,40497425.37409973,0,1914628096.0,1874130670.6259003,15969.6064453125,15631.82421875,0.0003572775776911688
./new_images/filtro Ph1/5-03.czi,5-03,5,./new40x/P1_1G2-09_mask.h5,P1_1G2-09,0.021022493703143994,1.0212450129615565,78954921.77307272,0,3795352832.0,3716397910.2269273,13449.1123046875,13169.3291015625,0.0002021156169439431
./new_images/filtro H/5-04.czi,5-04,1,./new40x/P1_1G7-08_mask.h5,P1_1G7-08,0.030564229743616767,1.0310361011071534,89382606.1540227,0,2969338624.0,2879956017.8459773,16133.326171875,15647.6826171875,0.006451217155909322
./new_images/filtro Ph1/5-04.czi,5-04,1,./Images_mk3/F7_mask.h5,F7,0.04409450258437985,1.0450811030879912,30268733.73979509,0,701697152.0,671428418.2602049,16082.16796875,15388.4404296875,0.017484733885100086
./new_images/filtro H/5-04.czi,5-04,2,./Images_mk3/F16_mask.h5,F16,0.024113012587707445,1.024406072131295,39361279.054507494,0,1652127104.0,1612765824.9454925,15411.345703125,15044.1767578125,0.006451217155909322
./new_images/filtro Ph1/5-04.czi,5-04,2,./new40x/P1_1G2-09_mask.h5,P1_1G2-09,0.026609768699279765,1.0269669599033497,104012623.61966133,1,3961051904.0,3857039280.3803387,14036.2783203125,13667.7021484375,0.017484733885100086
./new_images/filtro H/5-04.czi,5-04,3,./images_384_CNN/BF04_Position008_new_mask.h5,BF04_Position008_new,0.024113012587707445,1.024406072131295,39361279.054507494,0,1652127104.0,1612765824.9454925,15411.345703125,15044.1767578125,0.006451217155909322
./new_images/filtro Ph1/5-04.czi,5-04,3,./images_CNN/F4_mask.h5,F4,0.025388981934113524,1.0257140171617942,85030083.30495119,0,3391790080.0,3306759996.695049,14732.62890625,14363.291015625,0.017484733885100086
./new_images/filtro H/5-04.czi,5-04,4,./images_CNN/F3_mask.h5,F3,0.0125270465261738,1.0126058286405883,34274513.68733597,0,2753216256.0,2718941742.312664,15325.7861328125,15134.9970703125,0.006451217155909322
./new_images/filtro Ph1/5-04.czi,5-04,4,./Images_mk3/F4_mask.h5,F4,0.024520274933077322,1.0248233591217866,82790632.79222012,0,3417981184.0,3335190551.20778,14684.509765625,14328.8203125,0.017484733885100086
./new_images/filtro H/5-04.czi,5-04,5,./Images_mk3/F21_mask.h5,F21,0.012120784069244946,1.01219452845825,27357068.413146973,1,2270745856.0,2243388787.586853,15170.466796875,14987.69921875,0.006451217155909322
./new_images/filtro Ph1/5-04.czi,5-04,5,./images_384_CNN/BF03_Position018_new_mask.h5,BF03_Position018_new,0.022551774782893406,1.0228079784551296,46633774.12194729,1,2091259264.0,2044625489.8780527,14618.875,14292.8828125,0.017484733885100086
./new_images/filtro H/5-05.czi,5-05,1,./Images_mk3/F7_mask.h5,F7,0.04072407736116597,1.041564664619416,34066821.841308594,1,853676992.0,819610170.1586914,19565.38671875,18784.611328125,0.0028014967438197563
./new_images/filtro Ph1/5-05.czi,5-05,1,./Images_mk3/F4_mask.h5,F4,0.04541624931885753,1.0464633489247064,142971737.87254333,0,3220058112.0,3077086374.1274567,13834.1826171875,13219.939453125,0.0021910021653432574
./new_images/filtro H/5-05.czi,5-05,2,./Images_mk3/F19_mask.h5,F19,0.03792258061734621,1.038650808060578,101478205.01389074,0,2726991360.0,2625513154.9861093,18104.265625,17430.560546875,0.0028014967438197563
./new_images/filtro Ph1/5-05.czi,5-05,2,./Images_mk3/F7_mask.h5,F7,0.04322524715351427,1.0441730553746247,23969906.233297586,1,566606272.0,542636365.7667024,12986.025390625,12436.66015625,0.0021910021653432574
./new_images/filtro H/5-05.czi,5-05,3,./images_384_CNN/BF02_Position016_new_mask.h5,BF02_Position016_new,0.03792258061734621,1.038650808060578,101478205.01389074,0,2726991360.0,2625513154.9861093,18104.265625,17430.560546875,0.0028014967438197563
./new_images/filtro Ph1/5-05.czi,5-05,3,./images_CNN/F4_mask.h5,F4,0.04316152178753973,1.0441065171840007,134033408.01650095,0,3172890624.0,3038857215.983499,13781.814453125,13199.625,0.0021910021653432574
./new_images/filtro H/5-05.czi,5-05,4,./Images_mk3/F16_mask.h5,F16,0.027371618550774416,1.0277496526461782,53001895.83211708,0,1963004032.0,1910002136.167883,18311.263671875,17816.8515625,0.0028014967438197563
./new_images/filtro Ph1/5-05.czi,5-05,4,./Images_mk3/F1_mask.h5,F1,0.03922941317760755,1.0400090380646585,117524870.59202862,0,3054982912.0,2937458041.4079714,13718.17578125,13190.439453125,0.0021910021653432574
./new_images/filtro H/5-05.czi,5-05,5,./images_384_CNN/BF04_Position008_new_mask.h5,BF04_Position008_new,0.027371618550774416,1.0277496526461782,53001895.83211708,0,1963004032.0,1910002136.167883,18311.263671875,17816.8515625,0.0028014967438197563
./new_images/filtro Ph1/5-05.czi,5-05,5,./images_CNN/F1_mask.h5,F1,0.03550217570805497,1.0361398924635443,98605460.38102436,0,2827043584.0,2728438123.6189756,13592.0126953125,13117.9326171875,0.0021910021653432574
./new_images/filtro H/5-06.czi,5-06,1,./Images_mk3/F14_mask.h5,F14,0.025787347716884897,1.0261227079319286,62612882.03084183,0,2459488512.0,2396875629.969158,16404.79296875,15987.1640625,0.0
./new_images/filtro H/5-06.czi,5-06,2,./images_384_CNN/BF04_Position005_new_mask.h5,BF04_Position005_new,0.025787347716884897,1.0261227079319286,62612882.03084183,0,2459488512.0,2396875629.969158,16404.79296875,15987.1640625,0.0
./new_images/filtro H/5-06.czi,5-06,3,./Images_mk3/F16_mask.h5,F16,0.025332885132617736,1.0256564794994756,42250425.58828974,0,1689024512.0,1646774086.4117103,15755.53125,15361.412109375,0.0
./new_images/filtro H/5-06.czi,5-06,4,./images_384_CNN/BF04_Position008_new_mask.h5,BF04_Position008_new,0.025332885132617736,1.0256564794994756,42250425.58828974,0,1689024512.0,1646774086.4117103,15755.53125,15361.412109375,0.0
./new_images/filtro H/5-06.czi,5-06,5,./datasets_corrected/raw_pairs/masks/0009_5-06_mask.h5,0009_5-06,0.016601668894157044,1.0167402323875219,37662890.85778713,0,2287505664.0,2249842773.142213,16787.80078125,16511.396484375,0.0
./new_images/filtro Ph1/5-07.czi,5-07,1,./Images_mk3/F16_mask.h5,F16,0.03070455038618673,1.0311807869077416,40306515.59366584,0,1332978048.0,1292671532.4063342,12434.2646484375,12058.2783203125,0.0
./new_images/filtro Ph1/5-07.czi,5-07,2,./images_384_CNN/BF04_Position008_new_mask.h5,BF04_Position008_new,0.03070455038618673,1.0311807869077416,40306515.59366584,0,1332978048.0,1292671532.4063342,12434.2646484375,12058.2783203125,0.0
./new_images/filtro Ph1/5-07.czi,5-07,3,./Images_mk3/F14_mask.h5,F14,0.026393711896988026,1.0267451006717343,50829139.47579551,0,1951331968.0,1900502828.5242045,13015.3876953125,12676.357421875,0.0
./new_images/filtro Ph1/5-07.czi,5-07,4,./images_384_CNN/BF04_Position005_new_mask.h5,BF04_Position005_new,0.026393711896988026,1.0267451006717343,50829139.47579551,0,1951331968.0,1900502828.5242045,13015.3876953125,12676.357421875,0.0
./new_images/filtro Ph1/5-07.czi,5-07,5,./datasets_corrected/raw_pairs/masks/0009_5-06_mask.h5,0009_5-06,0.020184526856347817,1.020389601942951,36302382.337498665,0,1816738432.0,1780436049.6625013,13332.8818359375,13066.4619140625,0.0
./new40x/P1_1E3-13.czi,P1_1E3-13,1,./Images_mk3/F11_mask.h5,F11,0.03870503686266256,1.0394638249134496,15267258.403570592,0,402134432.0,386867173.5964294,5557.6435546875,5346.64453125,0.011766161004165963
./new40x/P1_1E3-13.czi,P1_1E3-13,2,./new40x/P1_1G7-18_mask.h5,P1_1G7-18,0.026938875858496594,1.0273049977077038,28782000.172360897,1,1082874752.0,1054092751.8276391,5702.8828125,5551.30419921875,0.011766161004165963
./new40x/P1_1E3-13.czi,P1_1E3-13,3,./Images_mk3/F25_mask.h5,F25,0.023037245156290513,1.0233046419791572,14562785.853633523,1,639450560.0,624887774.1463665,5688.40380859375,5558.85693359375,0.011766161004165963
