,class,proba,x1,y1,x2,y2,bf_mean,bf_std,bf_min,bf_max,bf_skew,rfp_mean,rfp_std,rfp_min,rfp_max,rfp_skew,gfp_mean,gfp_std,gfp_min,gfp_max,gfp_skew
0,0,0.85083693,381.53967,907.59937,408.55542,944.98706,1.7575757575757576,1.6769727734194737,0,3,-0.21773497838036845,1.8181818181818181,1.9769266266728183,0,4,-0.07026746246910012,1.803030303030303,1.5599907706506693,0,3,-0.2347797637182314
1,0,0.8465689,106.65959,676.1915,144.58772,724.739,3.441666666666667,7.601044568245126,1,12,1.1338497286084979,3.3833333333333333,7.289972144846796,1,12,1.2303916929439094,3.4166666666666665,7.564066852367687,1,13,1.2533601582502913
2,0,0.8208596,367.37354,58.080833,397.2696,98.15337,2.3076923076923075,1.834281474152857,0,5,0.17673945599645072,2.375,1.604903536977492,0,4,-0.07439989360257061,2.4326923076923075,1.3845226317091268,0,4,-0.06960597756754329
3,0,0.8125674,931.20654,300.84106,987.3779,325.86633,5.636363636363637,34.03968620212275,0,17,0.393411467660439,5.53030303030303,31.773188740193806,0,15,0.39023138465171997,5.2727272727272725,27.732348869404703,0,13,0.19597520990301795
4,0,0.8076234,785.19653,52.289227,823.90845,92.980484,1.7,0.612267657992565,0,3,0.43938339124512965,1.7222222222222223,0.6028500619578685,0,3,0.23811518604233656,1.8333333333333333,0.5408921933085501,0,3,0.10298644744436136
5,0,0.8023832,687.7648,211.60834,737.7982,251.62338,51.839622641509436,6953.377983453364,3,255,1.6847959863986495,53.5377358490566,7157.832956371644,3,255,1.6363243986724783,56.235849056603776,7393.467859056006,3,255,1.5831169898673914
6,0,0.79112005,940.331,539.85046,982.47186,565.4906,1.7209302325581395,2.8867975748801014,0,4,0.09755902793102036,1.7209302325581395,2.8867975748801014,0,4,0.09755902793102035,1.7790697674418605,2.740883177992942,0,4,0.060705345842768196
7,0,0.76835245,7.822403,274.49664,34.79211,304.3443,5.479166666666667,27.39816433566434,0,13,0.10046385313555302,5.375,28.012237762237763,0,15,0.23873999506279642,5.666666666666667,30.601398601398603,0,15,0.17366415734030882
8,0,0.751521,327.12418,177.72295,376.28934,213.58064,43.56603773584906,5311.552407594787,4,255,2.1245753106924394,43.75471698113208,5488.292958752454,4,255,2.109467337756041,43.72641509433962,5528.527438842926,4,255,2.1065816354019993
9,0,0.7238199,756.82935,1004.60297,781.78687,1023.7348,10.642857142857142,1057.2444061962137,0,127,3.3104295443238554,10.714285714285714,1074.1342512908784,0,128,3.3107084226418286,10.642857142857142,1057.2444061962137,0,127,3.3104295443238545
10,0,0.7181398,829.4204,335.95306,880.7766,373.0628,4.883928571428571,16.455143923240936,2,19,1.6288527512692559,4.482142857142857,13.898187633262259,1,17,1.4921964961088359,4.285714285714286,10.700213219616206,1,14,1.2179328971106251
11,0,0.7078524,863.30774,760.19446,921.0863,805.08704,5.486666666666666,175.53322939866365,1,83,5.368757907217299,5.32,155.33612472160354,0,78,5.315133353918057,4.8,99.51447661469933,0,62,5.069909991274513
